Badge,Action,Time
043532,Enter,2024-03-15T14:21:00+00:00
043532,Exit,2024-03-15T18:41:00+00:00
139555,Enter,2024-03-15T21:17:43+00:00
139555,Exit,2024-03-15T22:23:43+00:00
491966,Enter,2024-03-15T13:52:10+00:00
491966,Exit,2024-03-15T14:59:10+00:00
670495,Enter,2024-03-15T00:25:57+00:00
670495,Exit,2024-03-15T02:47:57+00:00
631805,Enter,2024-03-15T12:34:03+00:00
910261,Enter,2024-03-15T12:07:10+00:00
910261,Exit,2024-03-15T13:16:10+00:00
208201,Enter,2024-03-15T00:51:48+00:00
208201,Exit,2024-03-15T01:23:48+00:00
534490,Enter,2024-03-15T10:40:26+00:00
912080,Enter,2024-03-15T07:30:34+00:00
912080,Exit,2024-03-15T12:12:34+00:00
560918,Enter,2024-03-15T22:55:02+00:00
740017,Enter,2024-03-15T13:26:52+00:00
740017,Exit,2024-03-15T16:18:52+00:00
516151,Enter,2024-03-15T08:15:19+00:00
516151,Exit,2024-03-15T12:33:19+00:00
145297,Enter,2024-03-15T08:56:02+00:00
145297,Exit,2024-03-15T10:15:02+00:00
831235,Enter,2024-03-15T03:00:23+00:00
831235,Exit,2024-03-15T04:57:23+00:00
061662,Enter,2024-03-15T15:25:14+00:00
011153,Enter,2024-03-15T13:56:34+00:00
113601,Enter,2024-03-15T03:38:32+00:00
113601,Exit,2024-03-15T05:48:32+00:00
890974,Enter,2024-03-15T19:31:59+00:00
890974,Exit,2024-03-16T00:30:59+00:00
368003,Enter,2024-03-15T08:14:20+00:00
368003,Exit,2024-03-15T08:52:20+00:00
369569,Enter,2024-03-15T20:08:40+00:00
828296,Enter,2024-03-15T17:54:01+00:00
828296,Exit,2024-03-15T21:49:01+00:00
258876,Enter,2024-03-15T18:07:14+00:00
863829,Enter,2024-03-15T18:00:38+00:00
863829,Exit,2024-03-15T22:04:38+00:00
853989,Enter,2024-03-15T14:20:27+00:00
853989,Exit,2024-03-15T16:47:27+00:00
621016,Enter,2024-03-15T04:12:24+00:00
621016,Exit,2024-03-15T05:17:24+00:00
388978,Enter,2024-03-15T04:48:17+00:00
388978,Exit,2024-03-15T07:47:17+00:00
171086,Enter,2024-03-15T11:39:22+00:00
171086,Exit,2024-03-15T14:34:22+00:00
405934,Enter,2024-03-15T17:37:13+00:00
405934,Exit,2024-03-15T20:18:13+00:00
623832,Enter,2024-03-15T14:19:11+00:00
623832,Exit,2024-03-15T15:55:11+00:00
866597,Enter,2024-03-15T02:15:19+00:00
866597,Exit,2024-03-15T05:17:19+00:00
724070,Enter,2024-03-15T12:00:40+00:00
724070,Exit,2024-03-15T14:48:40+00:00
566008,Enter,2024-03-15T13:21:58+00:00
566008,Exit,2024-03-15T14:53:58+00:00
492848,Enter,2024-03-15T09:24:02+00:00
492848,Exit,2024-03-15T13:22:02+00:00
614722,Enter,2024-03-15T08:43:40+00:00
614722,Exit,2024-03-15T11:01:40+00:00
162601,Enter,2024-03-15T12:44:37+00:00
162601,Exit,2024-03-15T17:29:37+00:00
508870,Enter,2024-03-15T07:48:27+00:00
508870,Exit,2024-03-15T09:58:27+00:00
756951,Enter,2024-03-15T22:54:33+00:00
756951,Exit,2024-03-16T01:42:33+00:00
892536,Enter,2024-03-15T11:22:48+00:00
892536,Exit,2024-03-15T12:36:48+00:00
906930,Enter,2024-03-15T18:07:02+00:00
906930,Exit,2024-03-15T19:08:02+00:00
747989,Enter,2024-03-15T23:42:37+00:00
